"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2009"	"2009"	70	2832704	2.3	2.5
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2010"	"2010"	86	2858825	2.7	3.0
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2011"	"2011"	71	2872711	2.3	2.5
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2012"	"2012"	74	2891541	2.3	2.6
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2013"	"2013"	72	2902190	2.1	2.5
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2014"	"2014"	74	2912032	2.2	2.5
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2015"	"2015"	89	2923211	2.8	3.0
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2016"	"2016"	75	2927628	2.2	2.6
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2017"	"2017"	73	2927546	2.1	2.5
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2018"	"2018"	77	2931560	2.3	2.6
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2019"	"2019"	74	2933672	2.3	2.5
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2020"	"2020"	55	2937919	1.8	1.9
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	"2021"	"2021"	54	2937922	1.5	1.8
	"Rectum"	"21052"	"Kansas"	"20"	"1999"	"1999"	273	2678338	10.1	10.2
	"Rectum"	"21052"	"Kansas"	"20"	"2000"	"2000"	295	2693681	10.9	11.0
	"Rectum"	"21052"	"Kansas"	"20"	"2001"	"2001"	295	2702162	10.7	10.9
	"Rectum"	"21052"	"Kansas"	"20"	"2002"	"2002"	270	2713535	9.7	10.0
	"Rectum"	"21052"	"Kansas"	"20"	"2003"	"2003"	295	2723004	10.5	10.8
	"Rectum"	"21052"	"Kansas"	"20"	"2004"	"2004"	310	2734373	10.9	11.3
	"Rectum"	"21052"	"Kansas"	"20"	"2005"	"2005"	294	2745299	10.2	10.7
	"Rectum"	"21052"	"Kansas"	"20"	"2006"	"2006"	286	2762931	9.8	10.4
	"Rectum"	"21052"	"Kansas"	"20"	"2007"	"2007"	257	2783785	8.6	9.2
	"Rectum"	"21052"	"Kansas"	"20"	"2008"	"2008"	309	2808076	10.2	11.0
	"Rectum"	"21052"	"Kansas"	"20"	"2009"	"2009"	300	2832704	9.8	10.6
	"Rectum"	"21052"	"Kansas"	"20"	"2010"	"2010"	256	2858825	8.2	9.0
	"Rectum"	"21052"	"Kansas"	"20"	"2011"	"2011"	269	2872711	8.7	9.4
	"Rectum"	"21052"	"Kansas"	"20"	"2012"	"2012"	308	2891541	9.7	10.7
	"Rectum"	"21052"	"Kansas"	"20"	"2013"	"2013"	281	2902190	8.8	9.7
	"Rectum"	"21052"	"Kansas"	"20"	"2014"	"2014"	324	2912032	10.0	11.1
	"Rectum"	"21052"	"Kansas"	"20"	"2015"	"2015"	291	2923211	8.7	10.0
	"Rectum"	"21052"	"Kansas"	"20"	"2016"	"2016"	316	2927628	9.5	10.8
	"Rectum"	"21052"	"Kansas"	"20"	"2017"	"2017"	293	2927546	8.8	10.0
	"Rectum"	"21052"	"Kansas"	"20"	"2018"	"2018"	301	2931560	9.1	10.3
	"Rectum"	"21052"	"Kansas"	"20"	"2019"	"2019"	321	2933672	9.6	10.9
	"Rectum"	"21052"	"Kansas"	"20"	"2020"	"2020"	314	2937919	9.4	10.7
	"Rectum"	"21052"	"Kansas"	"20"	"2021"	"2021"	337	2937922	9.8	11.5
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"1999"	"1999"	34	2678338	1.2	1.3
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2000"	"2000"	37	2693681	1.3	1.4
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2001"	"2001"	35	2702162	1.2	1.3
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2002"	"2002"	40	2713535	1.4	1.5
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2003"	"2003"	40	2723004	1.5	1.5
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2004"	"2004"	44	2734373	1.6	1.6
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2005"	"2005"	42	2745299	1.4	1.5
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2006"	"2006"	35	2762931	1.2	1.3
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2007"	"2007"	51	2783785	1.8	1.8
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2008"	"2008"	46	2808076	1.6	1.6
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2009"	"2009"	41	2832704	1.3	1.4
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2010"	"2010"	45	2858825	1.5	1.6
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2011"	"2011"	67	2872711	2.1	2.3
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2012"	"2012"	51	2891541	1.6	1.8
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2013"	"2013"	49	2902190	1.4	1.7
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2014"	"2014"	57	2912032	1.8	2.0
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2015"	"2015"	65	2923211	1.9	2.2
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2016"	"2016"	49	2927628	1.4	1.7
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2017"	"2017"	59	2927546	1.6	2.0
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2018"	"2018"	60	2931560	1.8	2.0
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2019"	"2019"	79	2933672	2.3	2.7
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2020"	"2020"	67	2937919	1.9	2.3
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	"2021"	"2021"	88	2937922	2.3	3.0
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"1999"	"1999"	90	2678338	3.4	3.4
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2000"	"2000"	74	2693681	2.7	2.7
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2001"	"2001"	83	2702162	3.1	3.1
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2002"	"2002"	91	2713535	3.3	3.4
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2003"	"2003"	108	2723004	3.8	4.0
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2004"	"2004"	95	2734373	3.3	3.5
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2005"	"2005"	95	2745299	3.3	3.5
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2006"	"2006"	120	2762931	4.0	4.3
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2007"	"2007"	157	2783785	5.2	5.6
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2008"	"2008"	148	2808076	4.7	5.3
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2009"	"2009"	160	2832704	5.0	5.6
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2010"	"2010"	162	2858825	5.0	5.7
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2011"	"2011"	181	2872711	5.5	6.3
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2012"	"2012"	230	2891541	6.9	8.0
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2013"	"2013"	217	2902190	6.3	7.5
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2014"	"2014"	219	2912032	6.3	7.5
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2015"	"2015"	246	2923211	7.0	8.4
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2016"	"2016"	280	2927628	7.8	9.6
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2017"	"2017"	271	2927546	7.4	9.3
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2018"	"2018"	266	2931560	7.2	9.1
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2019"	"2019"	276	2933672	7.3	9.4
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2020"	"2020"	249	2937919	6.6	8.5
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	"2021"	"2021"	268	2937922	7.2	9.1
	"Liver"	"21071"	"Kansas"	"20"	"1999"	"1999"	75	2678338	2.8	2.8
	"Liver"	"21071"	"Kansas"	"20"	"2000"	"2000"	63	2693681	2.3	2.3
	"Liver"	"21071"	"Kansas"	"20"	"2001"	"2001"	75	2702162	2.8	2.8
	"Liver"	"21071"	"Kansas"	"20"	"2002"	"2002"	82	2713535	2.9	3.0
	"Liver"	"21071"	"Kansas"	"20"	"2003"	"2003"	102	2723004	3.6	3.7
	"Liver"	"21071"	"Kansas"	"20"	"2004"	"2004"	79	2734373	2.8	2.9
	"Liver"	"21071"	"Kansas"	"20"	"2005"	"2005"	85	2745299	2.9	3.1
	"Liver"	"21071"	"Kansas"	"20"	"2006"	"2006"	102	2762931	3.4	3.7
	"Liver"	"21071"	"Kansas"	"20"	"2007"	"2007"	144	2783785	4.8	5.2
	"Liver"	"21071"	"Kansas"	"20"	"2008"	"2008"	133	2808076	4.3	4.7
	"Liver"	"21071"	"Kansas"	"20"	"2009"	"2009"	149	2832704	4.6	5.3
	"Liver"	"21071"	"Kansas"	"20"	"2010"	"2010"	141	2858825	4.3	4.9
	"Liver"	"21071"	"Kansas"	"20"	"2011"	"2011"	156	2872711	4.8	5.4
	"Liver"	"21071"	"Kansas"	"20"	"2012"	"2012"	197	2891541	5.9	6.8
	"Liver"	"21071"	"Kansas"	"20"	"2013"	"2013"	193	2902190	5.5	6.7
	"Liver"	"21071"	"Kansas"	"20"	"2014"	"2014"	186	2912032	5.3	6.4
	"Liver"	"21071"	"Kansas"	"20"	"2015"	"2015"	209	2923211	5.9	7.1
	"Liver"	"21071"	"Kansas"	"20"	"2016"	"2016"	236	2927628	6.6	8.1
	"Liver"	"21071"	"Kansas"	"20"	"2017"	"2017"	224	2927546	6.0	7.7
	"Liver"	"21071"	"Kansas"	"20"	"2018"	"2018"	216	2931560	5.8	7.4
	"Liver"	"21071"	"Kansas"	"20"	"2019"	"2019"	210	2933672	5.5	7.2
	"Liver"	"21071"	"Kansas"	"20"	"2020"	"2020"	192	2937919	5.0	6.5
	"Liver"	"21071"	"Kansas"	"20"	"2021"	"2021"	204	2937922	5.3	6.9
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2001"	"2001"	Suppressed	2702162	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2002"	"2002"	Suppressed	2713535	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2004"	"2004"	16	2734373	0.5	0.6
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2005"	"2005"	Suppressed	2745299	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2006"	"2006"	18	2762931	0.6	0.7
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2007"	"2007"	Suppressed	2783785	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2008"	"2008"	Suppressed	2808076	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2009"	"2009"	Suppressed	2832704	Suppressed	Suppressed
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2010"	"2010"	21	2858825	0.6	0.7
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2011"	"2011"	25	2872711	0.8	0.9
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2012"	"2012"	33	2891541	1.0	1.1
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2013"	"2013"	24	2902190	0.7	0.8
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2014"	"2014"	33	2912032	1.0	1.1
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2015"	"2015"	37	2923211	1.1	1.3
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2016"	"2016"	44	2927628	1.3	1.5
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2017"	"2017"	47	2927546	1.4	1.6
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2018"	"2018"	50	2931560	1.4	1.7
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2019"	"2019"	66	2933672	1.8	2.2
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2020"	"2020"	57	2937919	1.6	1.9
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	"2021"	"2021"	64	2937922	1.9	2.2
	"Gallbladder"	"21080"	"Kansas"	"20"	"1999"	"1999"	19	2678338	0.7	0.7
	"Gallbladder"	"21080"	"Kansas"	"20"	"2000"	"2000"	32	2693681	1.1	1.2
	"Gallbladder"	"21080"	"Kansas"	"20"	"2001"	"2001"	30	2702162	1.0	1.1
	"Gallbladder"	"21080"	"Kansas"	"20"	"2002"	"2002"	23	2713535	0.8	0.8
	"Gallbladder"	"21080"	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Gallbladder"	"21080"	"Kansas"	"20"	"2004"	"2004"	19	2734373	0.6	0.7
	"Gallbladder"	"21080"	"Kansas"	"20"	"2005"	"2005"	29	2745299	1.0	1.1
	"Gallbladder"	"21080"	"Kansas"	"20"	"2006"	"2006"	22	2762931	0.8	0.8
	"Gallbladder"	"21080"	"Kansas"	"20"	"2007"	"2007"	21	2783785	0.7	0.8
	"Gallbladder"	"21080"	"Kansas"	"20"	"2008"	"2008"	39	2808076	1.3	1.4
	"Gallbladder"	"21080"	"Kansas"	"20"	"2009"	"2009"	31	2832704	1.0	1.1
	"Gallbladder"	"21080"	"Kansas"	"20"	"2010"	"2010"	32	2858825	1.0	1.1
	"Gallbladder"	"21080"	"Kansas"	"20"	"2011"	"2011"	28	2872711	0.9	1.0
	"Gallbladder"	"21080"	"Kansas"	"20"	"2012"	"2012"	30	2891541	0.9	1.0
	"Gallbladder"	"21080"	"Kansas"	"20"	"2013"	"2013"	30	2902190	0.9	1.0
	"Gallbladder"	"21080"	"Kansas"	"20"	"2014"	"2014"	33	2912032	1.0	1.1
	"Gallbladder"	"21080"	"Kansas"	"20"	"2015"	"2015"	29	2923211	0.8	1.0
	"Gallbladder"	"21080"	"Kansas"	"20"	"2016"	"2016"	37	2927628	1.1	1.3
	"Gallbladder"	"21080"	"Kansas"	"20"	"2017"	"2017"	29	2927546	0.9	1.0
	"Gallbladder"	"21080"	"Kansas"	"20"	"2018"	"2018"	40	2931560	1.2	1.4
	"Gallbladder"	"21080"	"Kansas"	"20"	"2019"	"2019"	23	2933672	0.7	0.8
	"Gallbladder"	"21080"	"Kansas"	"20"	"2020"	"2020"	31	2937919	0.8	1.1
	"Gallbladder"	"21080"	"Kansas"	"20"	"2021"	"2021"	29	2937922	0.8	1.0
	"Other Biliary"	"21090"	"Kansas"	"20"	"1999"	"1999"	33	2678338	1.2	1.2
	"Other Biliary"	"21090"	"Kansas"	"20"	"2000"	"2000"	31	2693681	1.1	1.2
	"Other Biliary"	"21090"	"Kansas"	"20"	"2001"	"2001"	48	2702162	1.7	1.8
	"Other Biliary"	"21090"	"Kansas"	"20"	"2002"	"2002"	44	2713535	1.5	1.6
	"Other Biliary"	"21090"	"Kansas"	"20"	"2003"	"2003"	32	2723004	1.1	1.2
	"Other Biliary"	"21090"	"Kansas"	"20"	"2004"	"2004"	44	2734373	1.5	1.6
	"Other Biliary"	"21090"	"Kansas"	"20"	"2005"	"2005"	40	2745299	1.4	1.5
	"Other Biliary"	"21090"	"Kansas"	"20"	"2006"	"2006"	36	2762931	1.3	1.3
	"Other Biliary"	"21090"	"Kansas"	"20"	"2007"	"2007"	43	2783785	1.5	1.5
	"Other Biliary"	"21090"	"Kansas"	"20"	"2008"	"2008"	41	2808076	1.4	1.5
	"Other Biliary"	"21090"	"Kansas"	"20"	"2009"	"2009"	43	2832704	1.3	1.5
	"Other Biliary"	"21090"	"Kansas"	"20"	"2010"	"2010"	41	2858825	1.3	1.4
	"Other Biliary"	"21090"	"Kansas"	"20"	"2011"	"2011"	45	2872711	1.4	1.6
	"Other Biliary"	"21090"	"Kansas"	"20"	"2012"	"2012"	53	2891541	1.6	1.8
	"Other Biliary"	"21090"	"Kansas"	"20"	"2013"	"2013"	58	2902190	1.8	2.0
	"Other Biliary"	"21090"	"Kansas"	"20"	"2014"	"2014"	44	2912032	1.3	1.5
	"Other Biliary"	"21090"	"Kansas"	"20"	"2015"	"2015"	47	2923211	1.3	1.6
	"Other Biliary"	"21090"	"Kansas"	"20"	"2016"	"2016"	38	2927628	1.1	1.3
	"Other Biliary"	"21090"	"Kansas"	"20"	"2017"	"2017"	47	2927546	1.4	1.6
	"Other Biliary"	"21090"	"Kansas"	"20"	"2018"	"2018"	54	2931560	1.5	1.8
	"Other Biliary"	"21090"	"Kansas"	"20"	"2019"	"2019"	40	2933672	1.2	1.4
	"Other Biliary"	"21090"	"Kansas"	"20"	"2020"	"2020"	42	2937919	1.2	1.4
	"Other Biliary"	"21090"	"Kansas"	"20"	"2021"	"2021"	39	2937922	1.0	1.3
	"Pancreas"	"21100"	"Kansas"	"20"	"1999"	"1999"	271	2678338	9.8	10.1
	"Pancreas"	"21100"	"Kansas"	"20"	"2000"	"2000"	266	2693681	9.7	9.9
	"Pancreas"	"21100"	"Kansas"	"20"	"2001"	"2001"	238	2702162	8.6	8.8
	"Pancreas"	"21100"	"Kansas"	"20"	"2002"	"2002"	281	2713535	9.9	10.4
	"Pancreas"	"21100"	"Kansas"	"20"	"2003"	"2003"	297	2723004	10.4	10.9
	"Pancreas"	"21100"	"Kansas"	"20"	"2004"	"2004"	281	2734373	9.9	10.3
	"Pancreas"	"21100"	"Kansas"	"20"	"2005"	"2005"	287	2745299	9.8	10.5
	"Pancreas"	"21100"	"Kansas"	"20"	"2006"	"2006"	306	2762931	10.4	11.1
	"Pancreas"	"21100"	"Kansas"	"20"	"2007"	"2007"	280	2783785	9.4	10.1
	"Pancreas"	"21100"	"Kansas"	"20"	"2008"	"2008"	356	2808076	11.9	12.7
	"Pancreas"	"21100"	"Kansas"	"20"	"2009"	"2009"	340	2832704	10.8	12.0
	"Pancreas"	"21100"	"Kansas"	"20"	"2010"	"2010"	306	2858825	9.9	10.7
	"Pancreas"	"21100"	"Kansas"	"20"	"2011"	"2011"	334	2872711	10.6	11.6
	"Pancreas"	"21100"	"Kansas"	"20"	"2012"	"2012"	341	2891541	10.7	11.8
	"Pancreas"	"21100"	"Kansas"	"20"	"2013"	"2013"	351	2902190	10.7	12.1
	"Pancreas"	"21100"	"Kansas"	"20"	"2014"	"2014"	397	2912032	12.1	13.6
	"Pancreas"	"21100"	"Kansas"	"20"	"2015"	"2015"	398	2923211	12.0	13.6
	"Pancreas"	"21100"	"Kansas"	"20"	"2016"	"2016"	391	2927628	11.5	13.4
	"Pancreas"	"21100"	"Kansas"	"20"	"2017"	"2017"	407	2927546	11.7	13.9
	"Pancreas"	"21100"	"Kansas"	"20"	"2018"	"2018"	428	2931560	11.8	14.6
	"Pancreas"	"21100"	"Kansas"	"20"	"2019"	"2019"	457	2933672	12.9	15.6
	"Pancreas"	"21100"	"Kansas"	"20"	"2020"	"2020"	425	2937919	11.8	14.5
	"Pancreas"	"21100"	"Kansas"	"20"	"2021"	"2021"	439	2937922	11.9	14.9
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2001"	"2001"	Suppressed	2702162	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2002"	"2002"	Suppressed	2713535	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2004"	"2004"	Suppressed	2734373	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2005"	"2005"	Suppressed	2745299	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2006"	"2006"	Suppressed	2762931	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2007"	"2007"	Suppressed	2783785	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2008"	"2008"	21	2808076	0.7	0.7
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2009"	"2009"	Suppressed	2832704	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2010"	"2010"	Suppressed	2858825	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2011"	"2011"	Suppressed	2872711	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2012"	"2012"	Suppressed	2891541	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2013"	"2013"	Suppressed	2902190	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2014"	"2014"	Suppressed	2912032	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2015"	"2015"	Suppressed	2923211	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2016"	"2016"	Suppressed	2927628	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2017"	"2017"	Suppressed	2927546	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2018"	"2018"	18	2931560	0.6	0.6
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2019"	"2019"	Suppressed	2933672	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2020"	"2020"	Suppressed	2937919	Suppressed	Suppressed
	"Retroperitoneum"	"21110"	"Kansas"	"20"	"2021"	"2021"	Suppressed	2937922	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2001"	"2001"	Suppressed	2702162	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2002"	"2002"	Suppressed	2713535	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2003"	"2003"	17	2723004	0.6	0.6
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2004"	"2004"	Suppressed	2734373	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2005"	"2005"	18	2745299	0.6	0.7
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2006"	"2006"	Suppressed	2762931	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2007"	"2007"	18	2783785	0.6	0.6
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2008"	"2008"	16	2808076	0.6	0.6
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2009"	"2009"	Suppressed	2832704	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2010"	"2010"	Suppressed	2858825	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2011"	"2011"	21	2872711	0.6	0.7
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2012"	"2012"	18	2891541	0.6	0.6
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2013"	"2013"	21	2902190	0.6	0.7
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2014"	"2014"	20	2912032	0.6	0.7
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2015"	"2015"	Suppressed	2923211	Suppressed	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2016"	"2016"	22	2927628	0.7	0.8
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2017"	"2017"	18	2927546	0.5	0.6
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2018"	"2018"	17	2931560	0.5	0.6
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2019"	"2019"	16	2933672	0.4	0.5
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2020"	"2020"	21	2937919	0.6	0.7
	"Peritoneum, Omentum and Mesentery"	"21120"	"Kansas"	"20"	"2021"	"2021"	Suppressed	2937922	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"2001"	"2001"	Suppressed	2702162	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"2002"	"2002"	Suppressed	2713535	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"2004"	"2004"	Suppressed	2734373	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"2005"	"2005"	Suppressed	2745299	Suppressed	Suppressed
	"Other Digestive Organs"	"21130"	"Kansas"	"20"	"2006"	"2006"	Suppressed	2762931	Suppressed	Suppressed
